# {"analyzer":"char_wb","feature_count":30000,"format":"armorer_native_linear_tfidf_v1","intercepts":[-1.1839083824695178,-7.725111325800931,-5.398444811609162,-5.926114894318232,-5.984136354105322,-5.46617221122413],"labels":["prompt_injection","system_prompt_extraction","data_exfiltration","sensitive_data_request","safety_bypass","destructive_command"],"lowercase":true,"model_name":"char-wb-public-distill-30k-v1","ngram_range":[3,5],"norm":"l2","smooth_idf":true,"source_model":"models/semantic_experiments/char-wb-public-distill-30k-v1/semantic_classifier.joblib","sublinear_tf":false,"threshold":0.65,"token_pattern":"(?u)\\b\\w\\w+\\b","use_idf":true}
# term	idf	coef_prompt_injection	coef_system_prompt_extraction	coef_data_exfiltration	coef_sensitive_data_request	coef_safety_bypass	coef_destructive_command
 #5f	5.59973024624	0.0520423343229	-0.0153625509387	-0.0219287659236	-0.0274478086836	-0.0135743198181	-0.0260516097512
 #5f6	5.61170643729	0.0519519326276	-0.0153632618063	-0.0218665819962	-0.0274107617405	-0.0135489516369	-0.0260275899334
 #6	4.41066391171	0.0797501069549	-0.0164314533358	-0.0321620516367	-0.0246948442808	-0.0216051505277	-0.0230954158899
 #60	5.56628231217	0.032990259457	-0.00877068668114	-0.0168676858404	-0.0126766480379	-0.0109761659173	-0.00999054418964
 #605	8.28757774003	0.00373383496538	-0.000568585844503	-0.00150430481421	-0.00107587116045	-0.00190577750576	-0.0013378544205
 #606	5.7092566456	0.0310279360125	-0.00858198209727	-0.0162007000823	-0.0121747952992	-0.00986935602311	-0.00925907408457
 #65	7.81757411078	0.0076185393024	-0.000702898593511	-0.00252527607183	-0.00208413336301	-0.00180928833429	-0.00230348643239
 #656	7.91601418359	0.00748395237207	-0.000687183979429	-0.00247130864799	-0.00201056407818	-0.00175309211039	-0.00225937479545
 #66	4.9634414045	0.0426207025602	-0.00944337765393	-0.0169013856295	-0.0124211638091	-0.0101884376739	-0.0128141644322
 #666	5.25865249912	0.0365524497126	-0.00572357025084	-0.0153102418776	-0.010691053996	-0.00817688645039	-0.0102786150175
 #667	5.9627420381	0.00956291875397	-0.00483825927555	-0.00289820351437	-0.00275684264739	-0.00291756234403	-0.00367646589366
 #6b	7.69979107512	0.00735565643912	-0.000280950831731	-0.00108743534956	-0.00084468344013	-0.00253928925913	-0.000872702140148
 #6b6	8.57525981248	0.00583939406362	-0.000147945008021	-0.00069168625239	-0.000503924376942	-0.000364114579355	-0.00041599781409
 #6b7	8.33887103441	0.00227781845974	-0.000159480607052	-0.000501835284967	-0.00042211007642	-0.00239286274004	-0.00053829017751
 #6c	6.71376700524	0.00697365683578	-0.000506389227048	-0.00160386403539	-0.00210136394657	-0.00121414315293	-0.00178232680655
 #6c7	6.80030746157	0.0069076671963	-0.000500772137666	-0.00158641667644	-0.00208350926907	-0.00118141213766	-0.00177503939688
 #7	4.99824345151	0.0356039787796	-0.00535003421052	-0.0116678117807	-0.0117346258892	-0.0100066494807	-0.0107104206549
 #70	7.8493228091	0.00363166911863	-0.000470997377394	-0.00113221402899	-0.0012681096553	-0.00117115408926	-0.00119315201604
 #707	8.14781579765	0.00355104506551	-0.000461748834243	-0.00109809825783	-0.00125486480485	-0.00114960711746	-0.00115584553448
 #71	6.55150717666	0.0116595563998	-0.00157441864815	-0.00424397899073	-0.00473808674144	-0.00302849926582	-0.00404111521694
 #717	6.71376700524	0.0103580917176	-0.00159586527628	-0.00428451774057	-0.00479803849632	-0.00304882688764	-0.00407994032687
 #72	7.32249684398	0.00298388961383	-0.000552289840237	-0.00217057786033	-0.00139006704955	-0.00286608310353	-0.0014487342252
 #727	7.8493228091	0.00267287378636	-0.000538861471811	-0.00217696719907	-0.00133440546174	-0.00287845070485	-0.00115463193999
 #76	6.00519535435	0.00328554495378	-0.000652750280107	-0.000882198182209	-0.00132934090623	-0.000543294510579	-0.000883722034278
 #78	7.16427283877	0.0117410965439	-0.00312057592297	-0.00382815674892	-0.00333516707891	-0.00331439879192	-0.00419859082602
 #787	7.37128700815	0.0118648238401	-0.0031917172479	-0.00387902760448	-0.00337719780567	-0.00336716872872	-0.00417880000282
 #7c	7.41210900267	0.00906705242407	-0.000641564119551	-0.00225472099981	-0.00153002068934	-0.00176678050157	-0.00151670644562
 #7c7	7.68599775299	0.00920646853444	-0.000643323257015	-0.00217721737023	-0.00152429171014	-0.00177740565085	-0.00150504863791
 #7d	8.79840336379	0.00360487145579	-0.000141426313766	-0.000656952578179	-0.000482299924543	-0.000511492484011	-0.000769997161668
 #7d8	10.0305470451	0.003687221858	-6.04594828418e-05	-0.000513855894772	-0.000261175349653	-0.000356730135377	-0.000624710439988
 #8	4.98160720831	0.0436888452169	-0.00401443971203	-0.0135982587276	-0.0102167136845	-0.010041414429	-0.0121934572864
